cod;cidade;uf;janeiro;fevereiro;março;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro
83090;Monte Santo;BA;74,2;72;72,5;71,1;60,2;54,3;49;34,5;19,1;28,9;56,4;73,7
83184;Morro do Chapéu;BA;115,8;100,7;86,7;70,1;34,8;34,2;27;17,5;19,3;36,3;95;127,4
82986;Paulo Afonso;BA;63,4;62,5;97,1;84,9;67,5;54,4;52,2;21,3;16,5;17,3;25,4;47,1
82979;Remanso;BA;115,7;107,3;145,4;81,4;9,2;2,7;0,2;2;0,3;34,9;97,7;122,1
83229;Salvador (Ondina);BA;138;142;151,6;309,7;359,9;243,7;175;127,4;102;114,9;137,1;142,8
83076;Santa Rita de Cássia (Ibipetuba);BA;149,9;166,5;139,9;80,2;13,8;0,9;0;0,7;21,2;54,9;177,1;198,2
83223;São Francisco do Conde;BA;116,5;134,6;164,7;237;452,5;215,7;174;123;70,2;63,6;152,4;131,9
83190;Serrinha;BA;94,7;119,1;103,6;107,6;92,9;94,7;80,5;52,4;33,8;39,9;77,6;94
82294;Acaraú;CE;152,3;207,2;434,9;397,8;194,5;68,3;42,4;6;3,6;3,6;4,1;30,6
82784;Barbalha;CE;171,4;226,5;227,1;208,3;42,8;20,6;14,7;5,8;9,3;20,7;42,2;86,4
82777;Campos Sales;CE;97,2;132,8;150,6;118,3;46,7;13,5;6,3;0,4;4,1;14,2;25,9;50,8
82583;Crateús;CE;64,6;138,9;254;218,7;94,9;18,7;12,3;1,6;7,1;7,7;11,6;39,4
82397;Fortaleza;CE;119,1;204,6;323,1;356,1;255,6;141,8;94,7;21,8;22,7;13;11,8;44,1
82487;Guaramiranga;CE;132,5;209,2;298,2;297,1;255,7;174,5;134,5;48,8;41,7;37,5;29,5;67,6
82686;Iguatu;CE;151,6;175,3;254,3;221,7;123,5;34;21;11,1;19,7;20,5;7,7;39
82493;Jaguaruana;CE;60;87,6;261,3;188,6;142,7;52,1;48,4;3,8;5,1;2,5;0,9;9
82588;Morada Nova;CE;68,7;113,9;208,1;194,5;124,4;64;26,7;4;3,6;2,9;3,3;26,1
82586;Quixeramobim;CE;80,2;111;180,6;189;137,7;79,9;45,4;7;3;2,4;5,3;16,1
82392;Sobral;CE;100,3;138,6;253,5;210,9;168;52,1;31,8;4,7;2,3;4,5;4,7;24,2
82683;Tauá;CE;69,1;126,4;160,1;194,5;63,6;32,3;13,1;6,8;9,9;5,8;4;30,3
83377;Brasília;DF;247,4;217,5;180,6;123,8;38,6;8,7;11,1;13,9;55,2;166,6;231,1;246
83646;Cachoeiro do Itapemirim;ES;117,7;86;94,2;99,3;61,2;25,1;43,9;38,7;57,1;120,4;171,3;171,5
83597;Linhares;ES;141,5;104,8;106,9;87,7;57,2;31,6;64,1;43,7;68,3;135,9;173,9;142
83550*;São Mateus;ES;147,7;93,4;112,5;85,6;75,3;41,5;73,2;44,4;100,2;150,9;172,5;127,9
83648;Vitória;ES;119,4;78,9;108,2;97,6;85,7;62,3;85,2;40,3;89,8;144,4;164,7;175,8
83368;Aragarças;GO;311,4;223,8;229,3;77,3;27,7;4,4;8,5;22,9;64;147,6;214,9;288,8
83526;Catalão;GO;274,5;209,8;177,9;79,4;32,6;8,5;10,2;14,6;38,9;153,5;204,7;280,1
83379;Formosa;GO;242,9;207,4;173,6;116,7;28,9;2,6;6,8;10,1;36,4;134,8;187,6;300,1
83423;Goiânia;GO;266,8;214,8;206,8;118,9;35,9;9,2;6,6;13,2;45,4;166,9;219;267,9
83374;Goiás;GO;355,1;264,4;236,5;108,3;40,9;2,6;4,7;13,5;39,9;155,2;256,5;300,2
83522;Ipameri;GO;271,6;187,6;164,6;92,5;36,5;9,9;10,9;19,4;39,4;114,5;159,7;316,7
83464*;Jataí;GO;319,9;235;242,6;111,1;46,9;17,5;11,5;42,3;48,6;110,8;178,2;285,1
83467;Mineiros;GO;305,2;207,4;197,5;103,6;63,3;17,9;14,7;31,2;54,8;161,7;202,5;216,4
83376;Pirenópolis;GO;302,7;265,6;184,4;139,7;35,5;18,9;12,3;11;56,7;158,1;249,1;338,3
83332;Posse;GO;257,9;213,5;216,3;118,7;17;6,1;5,5;11,6;31,5;114,4;219,1;293,6
83470;Rio Verde;GO;264,5;201,3;194,8;122;44,7;13,4;14,6;26,5;65,6;182,6;255;278,3
82970;Alto Parnaíba;MA;260,3;198;236,1;149,9;22,8;4,2;2;7,3;35,8;96;139,4;227,1
82460;Bacabal;MA;241,4;222,2;329,1;299,6;165,4;46,3;19,1;17,7;23,8;43,5;61;137
82768;Balsas;MA;172,3;157;246,8;167,1;42,7;9,7;1,1;7,9;25;115,7;107,7;178
82571;Barra do Corda;MA;171,2;179,7;218,9;204,3;59,4;20;7,8;11,4;20,7;39,6;65,9;123,6
82765;Carolina;MA;253,7;264,7;310,8;182,7;66,5;17,8;12;12,4;46,9;148,5;189,1;219,6
82476;Caxias;MA;245,9;290;388,4;317,7;144,1;37,4;12;12,1;9;26,5;63;144,4
82382;Chapadinha;MA;235,5;287,7;346;344,8;211,3;69;51,5;18,6;12,1;15,8;33,1;91,5
82676;Colinas;MA;223,3;185;299,5;215,8;65,6;23,1;4,6;11,5;23,1;76,7;78,2;110,3
82568;Grajaú;MA;175,7;214,4;258,6;180,8;54,6;12,9;9,6;5,7;17;64,8;105,2;139,4
82564;Imperatriz;MA;215,5;209,3;314,5;208,1;63,9;80,4;6,5;8,4;30,2;75,6;115,2;205,7
82280;São Luís;MA;244,2;373;428;475,9;316,5;173,3;131,1;29,4;23,3;7,6;10,5;77,4
82198;Turiaçu;MA;192,3;392,4;443;387;280;199,6;157,4;55,7;16,4;16,3;19,5;62,5
82376;Zé Doca;MA;245,1;286,9;312,8;291,6;212;87,5;55;29,1;23,1;52,2;41,2;107,6
83595*;Aimorés;MG;193,1;92,2;127,4;74,6;42,8;14,1;21,2;9;37,4;131,8;211,5;213,9
83442;Araçuaí;MG;123;78,8;101,3;31,1;15,6;4,7;6,7;4,3;15,8;108,1;175,5;158,4
83579;Araxá;MG;238,4;199,4;132,7;93,7;47,3;17,1;20,7;13,3;70;169,6;229,2;294,3
83384;Arinos;MG;287,4;123,1;145,3;85,7;27,1;9,2;5,2;16,6;27,3;114,5;170,9;262,9
83582;Bambuí;MG;236,2210526;161,8631579;130,1526316;84,44444444;46,31052632;16,50555556;18,25;18,85294118;47,12105263;107,0631579;199,1421053;304,0111111
83689;Barbacena;MG;251,9;178,9;137;60,6;39,1;24,1;21;20,6;62,5;130,3;230;244,5
83587;Belo Horizonte;MG;274,1;206,3;142,7;55,8;28,8;11,5;15,3;14,8;39,2;141,7;241,6;292
83681;Caldas (P. de Caldas);MG;270,5;222,1;180,7;90,5;74;30,2;23,2;37,1;76,8;151,9;152,8;345,3
83685;Cambuquira;MG;252,6;196,2;142,1;64,5;48,1;18,3;17,7;28,7;54,9;141,6;179,1;253,7
83639*;Caparaó;MG;172,1;107,4;125,4;66,4;41,4;15;21,9;19,6;44,7;122;163;183
83514;Capinópolis;MG;248,7;163;146;83,4;32,5;11,4;12,6;8,1;45,2;145,1;170,6;228
83592;Caratinga;MG;214,3;98,4;108,9;66,1;26,2;7,3;17,8;14,6;37,1;96,2;164,5;195,1
83027;Cataguases;MG;186,2;187,9;114,9;46;28,3;12,3;24,6;18,7;40;102,9;201,8;215,9
83686;Caxambu;MG;279,4;223,9;190,9;59,7;65,4;28,7;13,6;21,2;104,4;119,7;202,1;256,5
83589;Conceição do Mato Dentro;MG;279,9;168,5;131,9;72,1;22,5;15,7;18;10,4;43,8;163,8;265;267,1
83037;Coronel Pacheco;MG;284,4;168,3;195,3;80,2;48,8;29,3;22,7;23,1;83,9;122,3;209,5;272,4
83536;Curvelo;MG;166,9;117,6;109;54,2;22,6;3,9;10,6;8,7;21,9;124,2;180,4;221,6
83538;Diamantina;MG;238,5;141,2;132,7;103,9;34,3;9,1;7,3;9,2;39,3;117,1;216,6;235,5
83338;Espinosa;MG;149,4;89,7;74,2;47,2;13;3,7;2,7;2;12,4;62,4;119,2;169,2
83581;Florestal;MG;258;181,4;147;60,3;23,1;13,1;19,2;12;41,2;129,8;232,6;309,2
83334;Formoso;MG;194,1;153,6;133;140,2;25,9;3,6;2,3;3,1;41,3;81,4;161,4;236,1
83574;Frutal;MG;147,7;130,9;118,9;45;25,6;11,4;12,8;7,3;25,7;68;94,1;157,7
83543;Governador Valadares;MG;167,7;129,2;90,9;57,1;35;18,9;14,3;14,5;31,4;124,8;214,7;160,9
83632;Ibirité;MG;254,3;162,6;152,5;69,1;29,7;15;17,5;12,3;46,4;142,3;228,1;294,7
83590;Itabira;MG;160,8;130,3;121,2;82,4;35,8;20,8;23,9;19,4;66,7;137,2;243,5;273,9
83488;Itamarandiba;MG;179,7;87,5;98;44,5;15,5;6,6;6;9;32,7;125,4;222,8;206,2
83490;Itambacuri;MG;171,6;84,8;105,9;58,5;23;24;25,6;18,2;30,6;127,2;196,5;237
83386;Januária;MG;113,2;112,6;83,9;47,1;21,7;1,5;3,1;1,9;11,9;88,5;167,2;174,1
83591;João Monlevade;MG;254,9;164,1;119,4;49,1;31;13,3;15,6;9,7;36,3;123,4;203,2;245,6
83481;João Pinheiro;MG;255,3;196,2;148,4;62,4;18,7;1,6;11,7;9;28;124,4;181,7;266,3
83692;Juiz de Fora;MG;286,7;181,3;186,4;92,5;48,6;31,7;23,2;22,1;75,8;155,2;216,4;277,1
83687;Lavras;MG;281,6;202,5;156,4;64,2;37,3;29,2;16,9;22,6;72,4;127,2;207;293,9
83023;Lavras-ESAL.;MG;296,6;251,9;145,1;63,4;41;28,7;21,4;20,6;70,6;140,5;203,7;274,8
83683;Machado;MG;290,7;207,1;182,5;72,8;52,1;28,3;29,9;23,7;78,7;153,1;194,7;283,6
83015;Maria da Fé;MG;322,4;146,9;186,4;118,5;71,4;73,5;39;53,9;114,2;138,9;206,8;326
83440;Minas Novas;MG;171,2;92,2;95,2;40,4;14,6;1,8;5,1;6,1;21,8;135,5;178,4;198,9
83389;Mocambinho ;MG;216,1;96,4;-;64,4;19,2;0,7;0,5;0,9;13;88,1;146,1;159,8
